,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
37107,13299202,51950,BANKNIFTY23JUN42500PE,BANKNIFTY,0,29/06/23,42500,0.05,25,PE,NFO-OPT,NFO
37109,13300738,51956,BANKNIFTY23JUN42600PE,BANKNIFTY,0,29/06/23,42600,0.05,25,PE,NFO-OPT,NFO
37111,13301250,51958,BANKNIFTY23JUN42700PE,BANKNIFTY,0,29/06/23,42700,0.05,25,PE,NFO-OPT,NFO
37113,13302786,51964,BANKNIFTY23JUN42800PE,BANKNIFTY,0,29/06/23,42800,0.05,25,PE,NFO-OPT,NFO
37115,13303298,51966,BANKNIFTY23JUN42900PE,BANKNIFTY,0,29/06/23,42900,0.05,25,PE,NFO-OPT,NFO
37117,13304322,51970,BANKNIFTY23JUN43000PE,BANKNIFTY,0,29/06/23,43000,0.05,25,PE,NFO-OPT,NFO
37119,13304834,51972,BANKNIFTY23JUN43100PE,BANKNIFTY,0,29/06/23,43100,0.05,25,PE,NFO-OPT,NFO
37121,13306626,51979,BANKNIFTY23JUN43200PE,BANKNIFTY,0,29/06/23,43200,0.05,25,PE,NFO-OPT,NFO
