Date,open,high,low,close,volume
2023-04-03 09:15:00+05:30,880.2,880.95,877.35,877.55,100585
2023-04-03 09:16:00+05:30,877.25,879.1,877.25,878.35,56113
2023-04-03 09:17:00+05:30,878,878.9,877.7,878.25,47806
2023-04-03 09:18:00+05:30,878.25,879.25,877.75,879.25,120431
2023-04-03 09:19:00+05:30,879,879.05,877.55,878.2,76283
2023-04-03 09:20:00+05:30,878,878.45,875.35,876,107725
2023-04-03 09:21:00+05:30,875.4,875.6,874,874.45,225722
2023-04-03 09:22:00+05:30,874.8,874.85,874,874.4,74341
2023-04-03 09:23:00+05:30,874.45,875.85,874.1,875.35,90473
2023-04-03 09:24:00+05:30,875.9,876.9,875.35,876.45,91267
2023-04-03 09:25:00+05:30,876.35,876.45,874.3,874.95,60325
2023-04-03 09:26:00+05:30,874.95,876.5,874.8,876,111160
2023-04-03 09:27:00+05:30,876.05,876.2,874.9,875.15,38410
2023-04-03 09:28:00+05:30,874.6,874.75,872.6,873.1,194863
2023-04-03 09:29:00+05:30,873.05,873.65,872.65,873.5,77548
2023-04-03 09:30:00+05:30,873.5,874.05,872.5,874.05,104033
2023-04-03 09:31:00+05:30,873.9,874.7,873.45,874.05,148822
2023-04-03 09:32:00+05:30,873.85,875.05,873.85,875.05,60575
2023-04-03 09:33:00+05:30,875.05,875.6,874.7,875.3,77691
2023-04-03 09:34:00+05:30,875.3,875.5,873.6,874.05,36289
2023-04-03 09:35:00+05:30,874.4,875.4,874,874.05,52679
2023-04-03 09:36:00+05:30,874.05,874.35,873.8,874,24928
2023-04-03 09:37:00+05:30,874,874.4,872.55,872.55,97726
2023-04-03 09:38:00+05:30,873,873.1,872,872.05,172757
2023-04-03 09:39:00+05:30,872,873.15,872,873,44690
2023-04-03 09:40:00+05:30,872.85,873.25,872.25,872.25,19697
2023-04-03 09:41:00+05:30,872.15,872.65,871.9,872.1,24950
2023-04-03 09:42:00+05:30,872.45,872.55,871.8,872.2,22391
2023-04-03 09:43:00+05:30,872.25,872.85,872,872.5,11550
2023-04-03 09:44:00+05:30,872.45,873,872.05,872.25,23190
2023-04-03 09:45:00+05:30,872.25,872.6,872.05,872.6,35070
2023-04-03 09:46:00+05:30,872.35,872.85,872.3,872.5,8925
2023-04-03 09:47:00+05:30,872.8,872.9,872.45,872.7,17268
2023-04-03 09:48:00+05:30,872.7,872.9,872.1,872.45,19893
2023-04-03 09:49:00+05:30,872.45,872.65,872.1,872.65,13786
2023-04-03 09:50:00+05:30,872.35,872.65,872.15,872.3,13473
2023-04-03 09:51:00+05:30,872.25,873.3,872.2,873,80203
2023-04-03 09:52:00+05:30,873.3,874.15,872.75,873.35,94608
2023-04-03 09:53:00+05:30,873.25,873.8,873.05,873.05,10688
2023-04-03 09:54:00+05:30,873.35,873.6,872.6,872.6,21986
2023-04-03 09:55:00+05:30,872.65,873.05,871.75,872.3,156605
2023-04-03 09:56:00+05:30,872.55,872.7,871.45,871.55,117497
2023-04-03 09:57:00+05:30,871.8,872.4,871.55,872.05,10344
2023-04-03 09:58:00+05:30,872,872.05,871.35,871.7,25213
2023-04-03 09:59:00+05:30,872,872.9,871.6,872.85,45130
2023-04-03 10:00:00+05:30,872.7,874,872.65,874,82344
2023-04-03 10:01:00+05:30,874,874,872.7,872.7,13209
2023-04-03 10:02:00+05:30,872.7,873.9,872.7,873.3,59667
2023-04-03 10:03:00+05:30,873.15,873.8,872.75,872.85,20275
2023-04-03 10:04:00+05:30,872.55,872.95,871.95,872.1,65367
2023-04-03 10:05:00+05:30,872.35,873.1,871.7,873.05,31769
2023-04-03 10:06:00+05:30,873.05,873.8,873.05,873.5,21952
2023-04-03 10:07:00+05:30,873.4,873.5,873.05,873.05,4737
2023-04-03 10:08:00+05:30,873.05,873.4,873.05,873.2,8741
2023-04-03 10:09:00+05:30,873.25,873.5,872.8,873.4,11630
2023-04-03 10:10:00+05:30,873.2,873.5,873.05,873.2,10005
2023-04-03 10:11:00+05:30,873.2,874.5,873.05,874.15,92181
2023-04-03 10:12:00+05:30,874.15,874.8,873.85,874.45,52506
2023-04-03 10:13:00+05:30,874.35,874.75,873.9,874.25,25720
2023-04-03 10:14:00+05:30,874.25,874.6,873.2,873.25,19003
2023-04-03 10:15:00+05:30,873.25,873.3,872.1,872.1,85650
2023-04-03 10:16:00+05:30,872.55,872.7,872,872.25,48037
2023-04-03 10:17:00+05:30,872.25,872.7,871.75,872.05,51215
2023-04-03 10:18:00+05:30,872,872.75,871.8,872.6,53317
2023-04-03 10:19:00+05:30,872.45,872.6,872,872.45,10659
2023-04-03 10:20:00+05:30,872.5,872.7,872.15,872.55,4518
2023-04-03 10:21:00+05:30,872.55,873.8,872.55,873.8,82147
2023-04-03 10:22:00+05:30,873.8,873.95,873.2,873.85,46628
2023-04-03 10:23:00+05:30,873.85,873.85,873.1,873.7,3628
2023-04-03 10:24:00+05:30,873.7,874.15,873,873.9,64848
2023-04-03 10:25:00+05:30,873.85,874.1,873,873.35,16708
2023-04-03 10:26:00+05:30,873.6,873.75,873.15,873.35,8716
2023-04-03 10:27:00+05:30,873.35,873.75,873,873.1,13498
2023-04-03 10:28:00+05:30,873.1,873.65,873.1,873.55,5011
2023-04-03 10:29:00+05:30,873.65,873.65,872.3,872.35,39528
2023-04-03 10:30:00+05:30,872.5,872.65,872,872.3,38720
2023-04-03 10:31:00+05:30,872.15,872.65,871.7,872.1,60495
2023-04-03 10:32:00+05:30,871.75,872.35,871.65,872.25,25661
2023-04-03 10:33:00+05:30,872.15,872.75,872,872.3,19151
2023-04-03 10:34:00+05:30,872,872.2,871.9,872,3665
