,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
26382,2023-04-21 14:07:00,20.55,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,863.0,p,0.09223055555555555,0.21097916180084716
26387,2023-04-21 15:23:00,19.9,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,861.8,p,0.09201944444444445,0.19955756712590256
26388,2023-05-03 15:17:00,32.5,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,860.2,c,0.1640361111111111,0.2332256894415064
26392,2023-05-03 14:25:00,14.4,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,860.5,p,0.06418055555555556,0.16849765628017066
26394,2023-04-06 13:30:00,14.8,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,859.35,p,0.06033333333333333,0.1718138201025382
26395,2023-04-21 13:17:00,26.7,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,858.65,c,0.09236944444444445,0.2627567348833918
26396,2023-04-03 12:42:00,20.25,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,860.1,c,0.07246666666666667,0.2187310053023288
26400,2023-05-03 10:44:00,21.9,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,863.5,c,0.06479444444444445,0.22973714955340863
26401,2023-05-03 11:05:00,12.2,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,864.7,p,0.06473611111111112,0.1648474541765834
26403,2023-04-05 10:24:00,18.5,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,859.4,c,0.06485,0.21526085098434755
26411,2023-04-21 13:41:00,8.5,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,860.65,c,0.016302777777777777,0.18645584023529083
26412,2023-04-21 15:26:00,28.25,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,862.5,c,0.09201111111111111,0.25895225726505283
26416,2023-04-21 13:40:00,8.3,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,860.4,c,0.016305555555555556,0.184813417779557
26417,2023-05-04 14:04:00,13.85,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,862.2,p,0.060238888888888883,0.17702040222824203
26419,2023-05-03 14:52:00,21.9,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,860.5,p,0.16410555555555556,0.15934378773613025
26420,2023-04-03 11:08:00,16.5,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,858.05,p,0.07272777777777777,0.167786366901635
26422,2023-05-03 13:11:00,19.45,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,858.1,c,0.06438611111111112,0.23446051470024387
26428,2023-04-28 14:16:00,21.3,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,859.3,c,0.07220555555555555,0.23495077053909522
26429,2023-05-04 10:28:00,19.8,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,860.5,c,0.06083888888888889,0.23097102974476016
26431,2023-05-04 10:29:00,31.85,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,860.0,c,0.16083611111111112,0.23156087058334368
26441,2023-05-03 09:53:00,12.7,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,864.2,p,0.06493611111111111,0.16779441406416093
26442,2023-04-03 15:10:00,21.1,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,864.5,c,0.07205555555555555,0.20323925025172543
26446,2023-04-03 12:23:00,20.8,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,861.65,c,0.07251944444444444,0.21590362444652192
26450,2023-05-03 15:00:00,32.5,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,860.0,c,0.16408333333333333,0.23394032150925093
26455,2023-04-03 15:22:00,13.1,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,864.35,p,0.07202222222222222,0.16441877715225361
26461,2023-04-03 14:16:00,13.9,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,864.25,p,0.07220555555555555,0.17243403013860134
26472,2023-04-05 10:35:00,15.75,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.4,p,0.06481944444444444,0.18256431603538115
26475,2023-04-24 09:23:00,6.25,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,862.75,p,0.013019444444444445,0.19243841988439322
26479,2023-05-03 12:48:00,18.15,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,855.0,c,0.06445000000000001,0.2366966371367493
26492,2023-04-21 12:49:00,7.4,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,861.95,p,0.016447222222222224,0.18930597686583975
26496,2023-05-03 15:05:00,14.85,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,859.4,p,0.06406944444444444,0.16759240064664677
26501,2023-05-04 12:54:00,22.5,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,860.6,p,0.16043333333333334,0.16587598339498566
26507,2023-05-03 12:12:00,24.7,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,857.4,p,0.16455,0.16825686049701133
26508,2023-04-21 12:10:00,29.95,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,863.85,c,0.09255555555555556,0.2675666003820928
26509,2023-04-05 15:03:00,18.75,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,860.5,c,0.06407500000000001,0.21297078253762886
26510,2023-05-04 11:47:00,22.0,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,858.85,p,0.16061944444444445,0.15591030941099032
26514,2023-04-21 15:25:00,8.8,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,862.5,c,0.01601388888888889,0.17212105246546458
26518,2023-04-03 12:08:00,15.3,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.5,p,0.0725611111111111,0.16820740472273288
26520,2023-04-21 13:20:00,8.15,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,859.3,c,0.01636111111111111,0.19366777737678523
26523,2023-04-28 14:41:00,20.9,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,857.75,c,0.07213611111111111,0.23917367308675933
26531,2023-04-28 11:26:00,19.4,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,856.55,p,0.07267777777777777,0.19091872231422144
26532,2023-05-03 15:12:00,32.5,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,860.2,c,0.16405,0.23321581649347142
26535,2023-05-04 13:12:00,20.65,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,862.2,c,0.06038333333333333,0.2313902539423442
26537,2023-04-21 12:27:00,11.0,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,864.25,c,0.016508333333333333,0.19711688582734113
26539,2023-05-04 12:48:00,14.1,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,860.7,p,0.06045,0.1712124853053464
26542,2023-04-03 14:21:00,21.25,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,864.6,c,0.07219166666666667,0.20408137748282856
26545,2023-04-28 14:26:00,17.5,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,858.45,p,0.07217777777777777,0.18150702912986952
26546,2023-04-17 11:02:00,20.0,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,863.7,p,0.10874444444444445,0.1923027747183937
26548,2023-05-04 14:51:00,32.45,860,AXISBANK29JUN23860CE,2023-06-29 15:30:00,864.0,c,0.16010833333333332,0.2210588303163955
26549,2023-04-21 14:39:00,29.15,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,864.3,c,0.09214166666666666,0.25815224580804486
26550,2023-04-21 13:58:00,6.65,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,862.4,p,0.016255555555555554,0.17786944104573169
