,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
15,2023-04-27 14:49:00,0.3,565,SBIN27APR23565CE,2023-04-27 15:30:00,563.65,c,0.00011388888888888889,0.33311045054083793
119,2023-05-02 12:59:00,13.3,575,SBIN25MAY23575CE,2023-05-25 15:30:00,576.9,c,0.06841944444444445,0.2051231943067878
130,2023-04-25 14:36:00,3.1,565,SBIN27APR23565CE,2023-04-27 15:30:00,564.15,c,0.008150000000000001,0.17255638959173772
133,2023-05-02 12:57:00,13.4,575,SBIN25MAY23575CE,2023-05-25 15:30:00,576.95,c,0.068425,0.2063359738696623
195,2023-04-26 11:35:00,2.0,565,SBIN27APR23565CE,2023-04-27 15:30:00,564.1,c,0.004652777777777778,0.15774943211262546
241,2023-04-27 14:24:00,13.5,565,SBIN25MAY23565CE,2023-05-25 15:30:00,563.5,c,0.07618333333333333,0.22918834136702493
245,2023-04-27 12:13:00,13.15,565,SBIN25MAY23565PE,2023-05-25 15:30:00,563.25,p,0.07654722222222222,0.19684365990529387
253,2023-04-25 13:11:00,15.15,565,SBIN25MAY23565CE,2023-05-25 15:30:00,564.4,c,0.08438611111111112,0.23610118636535796
302,2023-04-27 10:58:00,3.75,565,SBIN27APR23565PE,2023-04-27 15:30:00,562.55,p,0.0007555555555555555,0.3756396064833836
331,2023-05-03 10:35:00,13.3,575,SBIN25MAY23575PE,2023-05-25 15:30:00,573.25,p,0.06481944444444444,0.21276178454071332
362,2023-04-27 11:31:00,13.6,565,SBIN25MAY23565PE,2023-05-25 15:30:00,563.35,p,0.07666388888888889,0.20474933303452772
379,2023-04-25 15:14:00,5.15,565,SBIN27APR23565PE,2023-04-27 15:30:00,562.7,p,0.008044444444444444,0.19292823650701615
425,2023-04-27 14:58:00,13.3,565,SBIN25MAY23565CE,2023-05-25 15:30:00,563.65,c,0.07608888888888889,0.22490487082330304
499,2023-05-02 13:31:00,11.85,575,SBIN25MAY23575PE,2023-05-25 15:30:00,577.2,p,0.06833055555555556,0.21508572390460748
566,2023-04-26 11:55:00,3.5,565,SBIN27APR23565PE,2023-04-27 15:30:00,564.35,p,0.004597222222222222,0.20717436033291697
581,2023-04-24 13:57:00,14.0,555,SBIN25MAY23555CE,2023-05-25 15:30:00,553.2,c,0.08825833333333333,0.2266665695332571
705,2023-04-24 15:20:00,13.35,555,SBIN25MAY23555PE,2023-05-25 15:30:00,554.75,p,0.08802777777777777,0.20138765487552762
717,2023-05-04 10:07:00,12.15,575,SBIN25MAY23575CE,2023-05-25 15:30:00,574.55,c,0.06089722222222222,0.2186983720706078
728,2023-04-26 11:35:00,3.55,565,SBIN27APR23565PE,2023-04-27 15:30:00,564.1,p,0.004652777777777778,0.20042743870546473
765,2023-04-24 14:32:00,13.6,555,SBIN25MAY23555PE,2023-05-25 15:30:00,553.6,p,0.0881611111111111,0.19631359919141203
850,2023-04-24 14:56:00,13.9,555,SBIN25MAY23555CE,2023-05-25 15:30:00,554.25,c,0.08809444444444443,0.2173563312225774
869,2023-04-25 11:07:00,14.0,565,SBIN25MAY23565PE,2023-05-25 15:30:00,563.65,p,0.08473055555555556,0.20319649825743277
877,2023-04-24 14:31:00,4.5,555,SBIN27APR23555PE,2023-04-27 15:30:00,553.7,p,0.012163888888888889,0.15640371747852655
903,2023-04-25 14:27:00,4.4,565,SBIN27APR23565PE,2023-04-27 15:30:00,563.9,p,0.008175,0.1878627575109134
916,2023-04-27 12:40:00,14.0,565,SBIN25MAY23565CE,2023-05-25 15:30:00,564.15,c,0.07647222222222222,0.23157224086323677
918,2023-05-02 12:54:00,11.95,575,SBIN25MAY23575PE,2023-05-25 15:30:00,576.8,p,0.06843333333333333,0.21349582391293134
936,2023-04-27 13:42:00,2.25,565,SBIN27APR23565PE,2023-04-27 15:30:00,564.45,p,0.0003,0.5029887760777045
953,2023-05-04 13:34:00,11.05,575,SBIN25MAY23575PE,2023-05-25 15:30:00,576.65,p,0.06032222222222222,0.21017172168217452
976,2023-04-27 15:09:00,3.0,565,SBIN27APR23565PE,2023-04-27 15:30:00,564.5,p,5.833333333333333e-05,1.5939114589697625
