,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
195702,2023-04-20 15:22:00,18.5,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1884.4,c,0.020022222222222223,0.1525198208086903
195711,2023-04-20 15:16:00,35.5,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1883.9,p,0.0960388888888889,0.16083478704527182
195713,2023-04-25 10:13:00,35.35,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1883.9,p,0.08488055555555556,0.17039351708772452
195722,2023-04-19 15:21:00,15.45,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1884.15,p,0.024025,0.14991312241273205
195724,2023-04-26 14:42:00,38.7,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1872.05,p,0.08013333333333333,0.16323175575442606
195725,2023-04-25 10:27:00,9.95,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.15,p,0.008841666666666666,0.1623095735942375
195732,2023-04-25 12:51:00,13.65,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1886.95,c,0.008441666666666667,0.14173278512507778
195738,2023-04-24 11:27:00,10.8,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1884.35,p,0.012675,0.1521027822495298
195739,2023-04-19 15:19:00,15.05,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1884.9,p,0.024030555555555555,0.14938268391172838
195749,2023-04-19 15:03:00,52.0,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1885.2,c,0.10007500000000001,0.20777394667545782
195753,2023-04-19 13:34:00,37.45,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1883.1,p,0.10032222222222223,0.1639723450586174
195754,2023-04-20 09:16:00,15.3,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.8,p,0.021038888888888888,0.15733463142436768
195756,2023-04-20 14:53:00,18.75,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1883.95,c,0.02010277777777778,0.15688886089113271
195760,2023-04-19 13:20:00,50.3,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1879.7,c,0.10036111111111112,0.21238599252040163
195761,2023-04-25 11:01:00,34.9,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1882.6,p,0.08474722222222222,0.16563094254829447
195762,2023-04-24 14:32:00,7.7,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1890.0,p,0.012161111111111112,0.14524997570864095
195763,2023-04-20 15:15:00,12.95,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.9,p,0.020041666666666666,0.13941942687168082
195770,2023-04-24 12:49:00,48.6,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1885.5,c,0.08844722222222222,0.20505202143417484
195771,2023-04-19 14:27:00,37.0,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1886.4,p,0.100175,0.16873826296143615
195776,2023-04-13 15:24:00,28.0,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1870.1,p,0.040016666666666666,0.15175448140765896
195781,2023-04-24 10:31:00,35.0,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1884.45,p,0.08883055555555555,0.1661582306925866
195782,2023-04-17 09:38:00,22.9,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1879.55,c,0.03297777777777778,0.1698084251741301
195785,2023-04-19 12:49:00,50.3,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1878.8,c,0.10044722222222223,0.21423170703519523
195792,2023-04-25 11:44:00,9.0,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1883.5,p,0.008627777777777778,0.1528570297155157
195794,2023-04-26 10:19:00,48.4,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1878.0,c,0.08086388888888889,0.23175801615395428
195795,2023-04-27 09:18:00,47.6,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1882.9,c,0.07703333333333333,0.22149379165442493
195797,2023-04-24 14:21:00,52.95,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1890.0,c,0.08819166666666667,0.21400178752540405
195798,2023-04-26 09:40:00,36.15,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1879.7,p,0.08097222222222222,0.16870987884683125
195803,2023-04-19 12:33:00,37.45,1880,KOTAKBANK25MAY231880PE,2023-05-25 15:30:00,1881.5,p,0.10049166666666667,0.16060195575634068
195808,2023-04-25 12:24:00,7.95,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1885.7,p,0.008516666666666667,0.15228013337862908
195809,2023-04-26 09:28:00,8.4,1880,KOTAKBANK27APR231880PE,2023-04-27 15:30:00,1882.45,p,0.005005555555555556,0.18033166171288267
195817,2023-04-19 14:32:00,53.5,1880,KOTAKBANK25MAY231880CE,2023-05-25 15:30:00,1885.8,c,0.10016111111111112,0.2126626516735812
195818,2023-04-26 10:41:00,6.25,1880,KOTAKBANK27APR231880CE,2023-04-27 15:30:00,1875.7,c,0.004802777777777778,0.15836012739752484
