,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
204330,2023-04-25 14:42:00,7.35,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1668.65,p,0.008133333333333333,0.11077660094652708
204332,2023-04-18 09:32:00,34.5,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1670.8,c,0.10499444444444445,0.15793160336298495
204334,2023-04-18 11:34:00,37.5,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1668.2,p,0.10465555555555556,0.16989422195104628
204336,2023-04-27 11:15:00,4.0,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1670.7,c,0.0007083333333333334,0.20520168392297133
204338,2023-04-26 12:10:00,6.45,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1667.7,p,0.004555555555555556,0.11615466750757508
204339,2023-04-21 12:19:00,11.4,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1668.45,c,0.016530555555555555,0.14201860855683018
204342,2023-04-26 13:39:00,4.6,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1668.7,c,0.004308333333333333,0.1195130559138143
204343,2023-04-20 14:25:00,29.75,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1672.3,c,0.09618055555555556,0.13826318863821846
204344,2023-04-27 10:18:00,2.05,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1673.0,p,0.0008666666666666667,0.17002165826306503
204354,2023-04-27 13:54:00,27.8,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1674.15,p,0.07626666666666666,0.1619357972122277
204355,2023-04-26 11:55:00,6.1,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1668.8,p,0.004597222222222222,0.12133669643684757
204357,2023-04-25 13:16:00,27.1,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1668.15,c,0.08437222222222222,0.14485762812707142
204358,2023-04-26 14:26:00,4.45,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1670.2,p,0.004177777777777778,0.10563801765509181
204360,2023-04-21 11:35:00,10.75,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1668.2,p,0.016652777777777777,0.11432632027914298
204362,2023-04-21 14:08:00,12.0,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1670.5,c,0.01622777777777778,0.13840756574962457
204364,2023-04-20 15:00:00,29.55,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1672.75,c,0.09608333333333334,0.1362255958471203
204365,2023-04-11 10:06:00,22.25,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1666.4,p,0.0489,0.13861917986620775
204366,2023-04-20 14:49:00,14.15,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1671.65,c,0.02011388888888889,0.14078443160166615
204369,2023-04-21 11:45:00,34.95,1670,HDFCBANK25MAY231670PE,2023-05-25 15:30:00,1670.15,p,0.092625,0.17274972946754263
204370,2023-04-26 10:58:00,7.3,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1666.1,p,0.004755555555555555,0.1114660894370546
204371,2023-04-18 11:58:00,18.75,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1666.8,c,0.02858888888888889,0.18047443660161414
204373,2023-04-26 14:39:00,4.85,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1669.55,c,0.004141666666666667,0.11830675870481773
204375,2023-04-20 10:20:00,10.3,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1673.2,p,0.02086111111111111,0.12283529554914933
204378,2023-04-21 12:40:00,28.15,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1668.95,c,0.09247222222222222,0.14157774872507412
204381,2023-04-20 11:56:00,14.6,1670,HDFCBANK27APR231670CE,2023-04-27 15:30:00,1671.7,c,0.020594444444444446,0.14356834881611955
204382,2023-04-26 12:00:00,6.25,1670,HDFCBANK27APR231670PE,2023-04-27 15:30:00,1668.0,p,0.004583333333333333,0.11510888382785014
204385,2023-04-20 14:07:00,28.65,1670,HDFCBANK25MAY231670CE,2023-05-25 15:30:00,1669.85,c,0.09623055555555556,0.13900461276795975
