,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,61.05,61.05,54.5,60.4,42950
1,2023-06-05 09:16:00+05:30,60.5,62.65,60.4,61.35,49500
2,2023-06-05 09:17:00+05:30,61.55,62.7,61.25,61.85,39900
3,2023-06-05 09:18:00+05:30,62.0,62.25,61.2,61.5,31100
4,2023-06-05 09:19:00+05:30,61.5,61.8,58.9,59.6,37600
5,2023-06-05 09:20:00+05:30,59.6,60.5,58.15,59.5,24650
6,2023-06-05 09:21:00+05:30,59.5,59.9,57.95,59.25,21550
7,2023-06-05 09:22:00+05:30,59.4,59.4,57.8,58.9,9250
8,2023-06-05 09:23:00+05:30,58.9,60.05,58.9,60.05,27800
9,2023-06-05 09:24:00+05:30,60.05,61.45,60.0,61.45,13700
10,2023-06-05 09:25:00+05:30,61.5,61.5,60.4,61.0,30250
11,2023-06-05 09:26:00+05:30,60.7,61.0,58.7,59.3,20550
12,2023-06-05 09:27:00+05:30,59.3,59.65,58.4,58.95,7600
13,2023-06-05 09:28:00+05:30,58.95,60.95,58.75,60.6,14400
14,2023-06-05 09:29:00+05:30,60.6,60.6,59.9,60.55,16500
15,2023-06-05 09:30:00+05:30,60.55,61.0,59.25,59.25,25300
16,2023-06-05 09:31:00+05:30,59.5,60.0,58.2,58.35,13100
17,2023-06-05 09:32:00+05:30,58.35,58.95,58.1,58.35,12850
18,2023-06-05 09:33:00+05:30,58.05,58.5,56.45,57.5,19250
19,2023-06-05 09:34:00+05:30,57.5,57.65,56.25,56.35,23250
20,2023-06-05 09:35:00+05:30,55.9,57.8,55.4,57.8,17650
21,2023-06-05 09:36:00+05:30,57.8,58.35,55.95,58.35,12350
22,2023-06-05 09:37:00+05:30,58.35,59.2,58.0,58.9,20450
23,2023-06-05 09:38:00+05:30,58.9,60.0,58.75,59.55,12650
24,2023-06-05 09:39:00+05:30,59.55,59.65,58.1,58.1,9550
25,2023-06-05 09:40:00+05:30,59.1,59.1,57.8,58.05,17300
26,2023-06-05 09:41:00+05:30,58.05,58.9,57.25,57.25,14800
27,2023-06-05 09:42:00+05:30,57.35,58.6,57.25,58.6,4750
28,2023-06-05 09:43:00+05:30,58.7,59.25,57.9,58.7,10400
29,2023-06-05 09:44:00+05:30,58.7,59.1,57.45,59.1,19300
30,2023-06-05 09:45:00+05:30,59.1,60.5,58.8,60.0,7450
31,2023-06-05 09:46:00+05:30,60.0,60.0,59.3,59.5,21300
32,2023-06-05 09:47:00+05:30,60.0,60.75,59.15,60.15,5750
33,2023-06-05 09:48:00+05:30,60.15,60.9,60.0,60.2,10550
34,2023-06-05 09:49:00+05:30,60.2,60.95,59.8,60.35,8700
35,2023-06-05 09:50:00+05:30,60.35,60.95,60.2,60.6,4900
36,2023-06-05 09:51:00+05:30,60.7,60.9,59.5,59.6,8800
37,2023-06-05 09:52:00+05:30,59.65,60.0,59.1,59.25,4200
38,2023-06-05 09:53:00+05:30,59.0,59.7,58.2,59.25,6850
39,2023-06-05 09:54:00+05:30,59.25,60.0,59.1,60.0,3600
40,2023-06-05 09:55:00+05:30,60.0,60.25,59.15,59.5,5300
41,2023-06-05 09:56:00+05:30,59.5,60.6,58.9,59.95,7900
42,2023-06-05 09:57:00+05:30,59.95,60.3,59.7,60.0,6150
43,2023-06-05 09:58:00+05:30,60.0,60.6,60.0,60.5,3200
44,2023-06-05 09:59:00+05:30,60.95,61.25,60.4,60.4,11500
45,2023-06-05 10:00:00+05:30,60.4,61.3,60.25,61.15,10500
46,2023-06-05 10:01:00+05:30,61.0,61.6,61.0,61.3,4950
47,2023-06-05 10:02:00+05:30,61.3,61.85,60.0,60.35,7600
48,2023-06-05 10:03:00+05:30,60.35,60.95,59.85,60.95,2300
49,2023-06-05 10:04:00+05:30,60.95,60.95,59.95,60.4,4550
50,2023-06-05 10:05:00+05:30,60.4,60.75,60.0,60.4,9150
51,2023-06-05 10:06:00+05:30,60.75,60.8,60.0,60.0,5450
52,2023-06-05 10:07:00+05:30,60.0,60.15,59.4,60.0,4250
53,2023-06-05 10:08:00+05:30,60.1,60.85,60.0,60.65,3550
54,2023-06-05 10:09:00+05:30,60.65,60.9,60.0,60.3,9150
55,2023-06-05 10:10:00+05:30,60.3,60.7,59.5,60.5,9750
56,2023-06-05 10:11:00+05:30,60.5,61.3,60.45,61.0,8000
57,2023-06-05 10:12:00+05:30,61.0,61.35,60.55,61.2,4000
58,2023-06-05 10:13:00+05:30,61.2,61.2,60.2,60.45,6350
59,2023-06-05 10:14:00+05:30,60.45,61.1,60.15,61.1,8500
60,2023-06-05 10:15:00+05:30,61.1,61.4,60.9,61.4,4700
