,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,20.05,23.3,18.7,19.25,7550
1,2023-06-05 09:16:00+05:30,18.95,18.95,18.6,18.9,2600
2,2023-06-05 09:17:00+05:30,18.9,19.3,18.85,19.3,9100
3,2023-06-05 09:18:00+05:30,19.15,19.35,19.05,19.35,6200
4,2023-06-05 09:19:00+05:30,19.25,20.0,19.25,19.95,19700
5,2023-06-05 09:20:00+05:30,19.95,20.5,19.65,20.1,6000
6,2023-06-05 09:21:00+05:30,20.25,20.8,20.0,20.5,2900
7,2023-06-05 09:22:00+05:30,20.5,20.75,20.4,20.65,8600
8,2023-06-05 09:23:00+05:30,20.65,20.65,20.2,20.25,6400
9,2023-06-05 09:24:00+05:30,20.1,20.25,19.7,19.85,3250
10,2023-06-05 09:25:00+05:30,19.8,20.1,19.8,19.9,4950
11,2023-06-05 09:26:00+05:30,20.0,20.6,19.95,20.35,7350
12,2023-06-05 09:27:00+05:30,20.35,20.85,20.35,20.85,2550
13,2023-06-05 09:28:00+05:30,20.75,20.75,20.25,20.3,2100
14,2023-06-05 09:29:00+05:30,20.15,20.5,20.15,20.35,2100
15,2023-06-05 09:30:00+05:30,20.2,20.3,19.8,20.3,6300
16,2023-06-05 09:31:00+05:30,20.3,20.85,20.3,20.75,21500
17,2023-06-05 09:32:00+05:30,20.75,20.75,20.4,20.5,2900
18,2023-06-05 09:33:00+05:30,20.4,20.9,20.4,20.7,18100
19,2023-06-05 09:34:00+05:30,20.7,21.1,20.7,20.9,4350
20,2023-06-05 09:35:00+05:30,20.9,21.1,20.75,20.8,3100
21,2023-06-05 09:36:00+05:30,20.8,21.4,20.6,20.6,2700
22,2023-06-05 09:37:00+05:30,20.8,20.8,20.05,20.35,12750
23,2023-06-05 09:38:00+05:30,20.2,20.3,19.75,19.9,4900
24,2023-06-05 09:39:00+05:30,19.9,20.05,19.7,20.05,3400
25,2023-06-05 09:40:00+05:30,20.05,20.3,20.0,20.3,6750
26,2023-06-05 09:41:00+05:30,20.2,20.5,20.15,20.5,6950
27,2023-06-05 09:42:00+05:30,20.5,20.55,20.1,20.1,2550
28,2023-06-05 09:43:00+05:30,20.1,20.3,19.9,20.1,4200
29,2023-06-05 09:44:00+05:30,20.2,20.5,20.15,20.25,21650
30,2023-06-05 09:45:00+05:30,20.25,20.5,20.2,20.5,60000
31,2023-06-05 09:46:00+05:30,20.45,21.05,20.45,20.65,18750
32,2023-06-05 09:47:00+05:30,20.65,20.95,20.5,20.65,13800
33,2023-06-05 09:48:00+05:30,20.6,20.65,20.35,20.45,3000
34,2023-06-05 09:49:00+05:30,20.45,20.6,20.35,20.6,8000
35,2023-06-05 09:50:00+05:30,20.6,20.6,20.3,20.35,4500
36,2023-06-05 09:51:00+05:30,20.35,20.6,20.3,20.6,12400
37,2023-06-05 09:52:00+05:30,20.45,20.7,20.4,20.55,5500
38,2023-06-05 09:53:00+05:30,20.55,20.85,20.5,20.75,13300
39,2023-06-05 09:54:00+05:30,20.8,20.8,20.35,20.35,13200
40,2023-06-05 09:55:00+05:30,20.4,20.45,20.25,20.45,10250
41,2023-06-05 09:56:00+05:30,20.5,20.5,20.1,20.3,5800
42,2023-06-05 09:57:00+05:30,20.25,20.35,20.1,20.2,4000
43,2023-06-05 09:58:00+05:30,20.2,20.35,20.0,20.1,5500
44,2023-06-05 09:59:00+05:30,20.0,20.15,19.9,20.1,9000
45,2023-06-05 10:00:00+05:30,20.1,20.1,19.8,19.85,2600
46,2023-06-05 10:01:00+05:30,19.85,19.95,19.85,19.9,1400
47,2023-06-05 10:02:00+05:30,19.9,20.1,19.8,20.05,3850
48,2023-06-05 10:03:00+05:30,20.05,20.4,20.05,20.2,5350
49,2023-06-05 10:04:00+05:30,20.2,20.35,20.15,20.25,3250
50,2023-06-05 10:05:00+05:30,20.15,20.25,20.15,20.15,2750
51,2023-06-05 10:06:00+05:30,20.15,20.2,20.05,20.15,1650
52,2023-06-05 10:07:00+05:30,20.15,20.3,20.15,20.2,1750
53,2023-06-05 10:08:00+05:30,20.2,20.2,19.95,19.95,400
54,2023-06-05 10:09:00+05:30,19.95,19.95,19.95,19.95,650
55,2023-06-05 10:10:00+05:30,19.95,20.1,19.95,20.05,150
56,2023-06-05 10:11:00+05:30,20.05,20.2,19.7,19.75,4350
57,2023-06-05 10:12:00+05:30,19.9,20.1,19.75,20.0,1350
58,2023-06-05 10:13:00+05:30,20.0,20.2,19.9,20.2,1300
59,2023-06-05 10:14:00+05:30,20.2,20.2,19.9,19.9,2000
60,2023-06-05 10:15:00+05:30,19.9,20.05,19.9,19.9,2250
