,date,open,high,low,close,volume
NIFTY2360818600PE,2023-06-05 09:45:00+05:30,60.15,60.4,55,56.25,1601550
NIFTY2360818700CE,2023-06-05 09:45:00+05:30,43.65,46.5,43.55,45.35,853100
NIFTY2360818700PE,2023-06-05 09:45:00+05:30,111.9,112.35,104.3,106.45,572450
NIFTY2360818800CE,2023-06-05 09:45:00+05:30,16.9,17.85,16.75,17.3,421950
NIFTY2360818800PE,2023-06-05 09:45:00+05:30,185.05,185.55,175.8,178.15,106550
NIFTY2360818900CE,2023-06-05 09:45:00+05:30,5.85,6.05,5.8,5.9,429900
NIFTY2360818900PE,2023-06-05 09:45:00+05:30,273.55,274.2,265,266.85,7300
NIFTY2360819000CE,2023-06-05 09:45:00+05:30,2.8,2.9,2.8,2.8,255400
NIFTY2360819000PE,2023-06-05 09:45:00+05:30,376,376,361.25,361.8,3400
NIFTY2360819100CE,2023-06-05 09:45:00+05:30,1.9,1.95,1.9,1.95,45850
NIFTY2360819100PE,2023-06-05 09:45:00+05:30,470.15,470.15,465.75,465.75,150
NIFTY2360819200CE,2023-06-05 09:45:00+05:30,1.6,1.65,1.6,1.6,23900
NIFTY2360819200PE,2023-06-05 09:45:00+05:30,574.3,574.3,574.3,574.3,0
NIFTY2360819300CE,2023-06-05 09:45:00+05:30,1.55,1.6,1.55,1.6,21550
NIFTY2360819300PE,2023-06-05 09:45:00+05:30,667.55,667.55,667.55,667.55,0
NIFTY2360819400CE,2023-06-05 09:45:00+05:30,1.4,1.45,1.4,1.45,12500
NIFTY2360819400PE
NIFTY2360819500CE,2023-06-05 09:45:00+05:30,1.4,1.45,1.4,1.45,13550
NIFTY2360819500PE
NIFTY2361517500CE
NIFTY2361517500PE,2023-06-05 09:45:00+05:30,2.6,2.65,2.6,2.65,500
NIFTY2361517600CE,2023-06-05 09:45:00+05:30,1050,1050,1050,1050,0
NIFTY2361517600PE,2023-06-05 09:45:00+05:30,2.85,2.85,2.85,2.85,950
NIFTY2361517700CE
NIFTY2361517700PE,2023-06-05 09:45:00+05:30,3.45,3.45,3.35,3.35,450
NIFTY2361517800CE,2023-06-05 09:45:00+05:30,859.15,859.15,859.15,859.15,0
