,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,9.5,9.5,9.2,9.2,150
1,2023-06-05 09:16:00+05:30,9.2,9.65,9.15,9.25,3550
2,2023-06-05 09:17:00+05:30,9.3,9.4,9.25,9.3,8350
3,2023-06-05 09:18:00+05:30,9.25,9.35,9.25,9.35,5600
4,2023-06-05 09:19:00+05:30,9.35,9.4,9.3,9.35,1050
5,2023-06-05 09:20:00+05:30,9.35,9.55,9.35,9.55,950
6,2023-06-05 09:21:00+05:30,9.55,9.65,9.45,9.45,1750
7,2023-06-05 09:22:00+05:30,9.55,9.6,9.45,9.6,2400
8,2023-06-05 09:23:00+05:30,9.6,9.6,9.55,9.55,50
9,2023-06-05 09:24:00+05:30,9.6,9.6,9.4,9.4,3200
10,2023-06-05 09:25:00+05:30,9.45,9.55,9.4,9.5,4900
11,2023-06-05 09:26:00+05:30,9.5,9.75,9.5,9.7,600
12,2023-06-05 09:27:00+05:30,9.7,9.75,9.7,9.75,50
13,2023-06-05 09:28:00+05:30,9.75,9.8,9.75,9.75,950
14,2023-06-05 09:29:00+05:30,9.75,9.75,9.6,9.7,1650
15,2023-06-05 09:30:00+05:30,9.7,9.7,9.5,9.7,1050
16,2023-06-05 09:31:00+05:30,9.7,9.8,9.65,9.8,400
17,2023-06-05 09:32:00+05:30,9.8,9.8,9.65,9.65,100
18,2023-06-05 09:33:00+05:30,9.65,9.75,9.65,9.7,250
19,2023-06-05 09:34:00+05:30,9.7,9.7,9.65,9.65,50
20,2023-06-05 09:35:00+05:30,9.7,9.7,9.65,9.65,200
21,2023-06-05 09:36:00+05:30,9.65,9.8,9.65,9.8,50
22,2023-06-05 09:37:00+05:30,9.8,9.8,9.5,9.5,350
23,2023-06-05 09:38:00+05:30,9.5,9.5,9.5,9.5,0
24,2023-06-05 09:39:00+05:30,9.5,9.5,9.35,9.35,50
25,2023-06-05 09:40:00+05:30,9.35,9.35,9.3,9.3,500
26,2023-06-05 09:41:00+05:30,9.3,9.3,9.3,9.3,0
27,2023-06-05 09:42:00+05:30,9.3,9.3,9.3,9.3,0
28,2023-06-05 09:43:00+05:30,9.3,9.35,9.3,9.35,50
29,2023-06-05 09:44:00+05:30,9.35,9.4,9.35,9.35,550
30,2023-06-05 09:45:00+05:30,9.35,9.35,9.35,9.35,2450
31,2023-06-05 09:46:00+05:30,9.4,9.6,9.4,9.55,6200
32,2023-06-05 09:47:00+05:30,9.55,9.6,9.55,9.6,100
33,2023-06-05 09:48:00+05:30,9.6,9.6,9.4,9.4,300
34,2023-06-05 09:49:00+05:30,9.4,9.45,9.4,9.4,2200
35,2023-06-05 09:50:00+05:30,9.4,9.4,9.35,9.35,300
36,2023-06-05 09:51:00+05:30,9.35,9.35,9.3,9.3,700
37,2023-06-05 09:52:00+05:30,9.3,9.35,9.3,9.35,600
38,2023-06-05 09:53:00+05:30,9.35,9.35,9.35,9.35,100
39,2023-06-05 09:54:00+05:30,9.35,9.35,9.25,9.25,3700
40,2023-06-05 09:55:00+05:30,9.3,9.3,9.3,9.3,550
41,2023-06-05 09:56:00+05:30,9.25,9.35,9.2,9.25,3900
42,2023-06-05 09:57:00+05:30,9.25,9.3,9.25,9.3,200
43,2023-06-05 09:58:00+05:30,9.3,9.3,9.2,9.25,4350
44,2023-06-05 09:59:00+05:30,9.25,9.25,9.25,9.25,0
45,2023-06-05 10:00:00+05:30,9.25,9.3,9.25,9.3,1900
46,2023-06-05 10:01:00+05:30,9.3,9.3,9.3,9.3,0
47,2023-06-05 10:02:00+05:30,9.3,9.3,9.2,9.2,300
48,2023-06-05 10:03:00+05:30,9.2,9.3,9.2,9.25,650
49,2023-06-05 10:04:00+05:30,9.25,9.25,9.25,9.25,0
50,2023-06-05 10:05:00+05:30,9.25,9.25,9.15,9.15,500
51,2023-06-05 10:06:00+05:30,9.25,9.25,9.2,9.2,100
52,2023-06-05 10:07:00+05:30,9.2,9.2,9.2,9.2,0
53,2023-06-05 10:08:00+05:30,9.2,9.2,9.2,9.2,0
54,2023-06-05 10:09:00+05:30,9.25,9.25,9.25,9.25,100
55,2023-06-05 10:10:00+05:30,9.25,9.25,9.1,9.1,100
56,2023-06-05 10:11:00+05:30,9.1,9.15,9.1,9.15,600
57,2023-06-05 10:12:00+05:30,9.15,9.15,9.1,9.1,550
58,2023-06-05 10:13:00+05:30,9.1,9.1,9.1,9.1,2100
59,2023-06-05 10:14:00+05:30,9.1,9.1,9.1,9.1,0
60,2023-06-05 10:15:00+05:30,9.1,9.1,8.95,8.95,1000
