,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,35.05,41.5,30.65,32.25,40550
1,2023-06-05 09:16:00+05:30,31.95,32.0,31.0,31.55,25100
2,2023-06-05 09:17:00+05:30,31.5,31.95,31.4,31.8,28600
3,2023-06-05 09:18:00+05:30,31.7,32.0,31.5,31.9,31950
4,2023-06-05 09:19:00+05:30,31.9,33.3,31.8,32.75,34150
5,2023-06-05 09:20:00+05:30,32.95,33.9,32.35,33.3,18000
6,2023-06-05 09:21:00+05:30,33.2,34.25,32.85,33.75,25300
7,2023-06-05 09:22:00+05:30,33.5,34.4,33.5,34.0,17100
8,2023-06-05 09:23:00+05:30,34.0,34.0,33.2,33.2,20250
9,2023-06-05 09:24:00+05:30,33.2,33.2,32.1,32.65,9450
10,2023-06-05 09:25:00+05:30,32.5,32.9,32.35,32.75,12600
11,2023-06-05 09:26:00+05:30,32.75,34.0,32.75,33.5,9950
12,2023-06-05 09:27:00+05:30,33.5,34.2,33.45,33.85,10550
13,2023-06-05 09:28:00+05:30,33.85,34.0,33.2,33.25,9750
14,2023-06-05 09:29:00+05:30,33.25,33.7,33.05,33.1,19900
15,2023-06-05 09:30:00+05:30,33.2,33.5,32.5,33.5,14950
16,2023-06-05 09:31:00+05:30,33.5,34.3,33.1,33.9,42100
17,2023-06-05 09:32:00+05:30,33.9,34.0,33.45,33.6,14150
18,2023-06-05 09:33:00+05:30,33.6,34.5,33.5,34.35,10450
19,2023-06-05 09:34:00+05:30,34.35,34.8,34.2,34.75,11900
20,2023-06-05 09:35:00+05:30,34.8,34.9,34.1,34.1,12200
21,2023-06-05 09:36:00+05:30,34.05,35.35,33.8,33.8,10750
22,2023-06-05 09:37:00+05:30,33.75,33.75,32.6,33.0,13700
23,2023-06-05 09:38:00+05:30,33.0,33.1,32.35,32.6,16800
24,2023-06-05 09:39:00+05:30,32.6,32.8,32.3,32.8,12950
25,2023-06-05 09:40:00+05:30,32.8,33.35,32.6,32.9,15350
26,2023-06-05 09:41:00+05:30,33.1,33.5,32.8,33.5,15550
27,2023-06-05 09:42:00+05:30,33.5,33.55,32.7,32.7,17150
28,2023-06-05 09:43:00+05:30,32.7,32.95,32.5,32.95,25600
29,2023-06-05 09:44:00+05:30,32.95,33.3,32.6,32.7,20450
30,2023-06-05 09:45:00+05:30,32.7,32.95,32.2,32.5,37500
31,2023-06-05 09:46:00+05:30,32.7,33.5,32.5,33.0,10600
32,2023-06-05 09:47:00+05:30,32.95,33.25,32.4,32.55,25800
33,2023-06-05 09:48:00+05:30,32.7,33.0,32.25,32.65,82400
34,2023-06-05 09:49:00+05:30,32.8,33.05,32.4,32.75,31800
35,2023-06-05 09:50:00+05:30,32.75,32.9,32.4,32.5,30600
36,2023-06-05 09:51:00+05:30,32.4,32.9,32.3,32.85,109600
37,2023-06-05 09:52:00+05:30,32.75,33.0,32.65,32.9,8350
38,2023-06-05 09:53:00+05:30,32.9,33.25,32.7,32.95,2350
39,2023-06-05 09:54:00+05:30,33.0,33.2,32.6,32.65,9100
40,2023-06-05 09:55:00+05:30,32.65,32.9,32.5,32.9,6950
41,2023-06-05 09:56:00+05:30,32.85,33.0,32.3,32.6,10150
42,2023-06-05 09:57:00+05:30,32.7,32.7,32.4,32.7,7350
43,2023-06-05 09:58:00+05:30,32.7,32.7,32.3,32.4,11150
44,2023-06-05 09:59:00+05:30,32.4,32.5,32.05,32.3,11300
45,2023-06-05 10:00:00+05:30,32.2,32.35,32.1,32.15,9750
46,2023-06-05 10:01:00+05:30,32.25,32.3,32.0,32.1,15300
47,2023-06-05 10:02:00+05:30,32.1,32.6,32.0,32.6,25650
48,2023-06-05 10:03:00+05:30,32.7,32.85,32.15,32.3,27700
49,2023-06-05 10:04:00+05:30,32.3,32.6,32.25,32.3,13050
50,2023-06-05 10:05:00+05:30,32.3,32.45,32.25,32.3,2900
51,2023-06-05 10:06:00+05:30,32.3,32.4,32.1,32.1,5250
52,2023-06-05 10:07:00+05:30,32.25,32.6,32.2,32.25,8300
53,2023-06-05 10:08:00+05:30,32.1,32.25,32.0,32.1,5550
54,2023-06-05 10:09:00+05:30,32.2,32.5,32.1,32.4,6000
55,2023-06-05 10:10:00+05:30,32.35,32.6,32.1,32.25,5450
56,2023-06-05 10:11:00+05:30,32.3,32.3,31.75,32.1,9950
57,2023-06-05 10:12:00+05:30,32.1,32.3,31.9,32.2,4600
58,2023-06-05 10:13:00+05:30,32.2,32.4,32.15,32.25,5400
59,2023-06-05 10:14:00+05:30,32.25,32.5,32.15,32.2,7100
60,2023-06-05 10:15:00+05:30,32.2,32.25,31.95,32.0,3300
