,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,81.05,89.8,81.05,84.15,20600
1,2023-06-05 09:16:00+05:30,83.9,84.5,81.45,83.05,55400
2,2023-06-05 09:17:00+05:30,83.25,84.0,82.55,83.6,36750
3,2023-06-05 09:18:00+05:30,82.75,83.9,82.25,83.4,19600
4,2023-06-05 09:19:00+05:30,83.4,87.05,83.0,85.75,21700
5,2023-06-05 09:20:00+05:30,85.75,88.2,84.35,86.9,18850
6,2023-06-05 09:21:00+05:30,86.9,89.35,86.1,87.5,23250
7,2023-06-05 09:22:00+05:30,87.5,89.9,87.5,88.7,16700
8,2023-06-05 09:23:00+05:30,88.6,88.7,86.35,86.35,20200
9,2023-06-05 09:24:00+05:30,86.45,86.45,83.8,84.35,19050
10,2023-06-05 09:25:00+05:30,84.15,85.35,83.9,84.9,8150
11,2023-06-05 09:26:00+05:30,84.9,88.55,84.9,87.45,7600
12,2023-06-05 09:27:00+05:30,87.5,89.2,87.2,88.6,14300
13,2023-06-05 09:28:00+05:30,88.6,88.95,86.0,86.25,5000
14,2023-06-05 09:29:00+05:30,86.25,87.6,86.25,86.3,2850
15,2023-06-05 09:30:00+05:30,86.3,86.35,84.0,86.35,9450
16,2023-06-05 09:31:00+05:30,86.35,88.65,85.75,88.15,56400
17,2023-06-05 09:32:00+05:30,88.15,88.2,87.45,87.8,3200
18,2023-06-05 09:33:00+05:30,87.8,90.45,87.3,89.75,10650
19,2023-06-05 09:34:00+05:30,89.95,91.25,89.6,91.0,13000
20,2023-06-05 09:35:00+05:30,91.65,92.05,89.2,89.2,9100
21,2023-06-05 09:36:00+05:30,89.2,92.35,88.35,88.4,13900
22,2023-06-05 09:37:00+05:30,88.4,88.4,85.6,86.3,30200
23,2023-06-05 09:38:00+05:30,86.65,86.65,84.15,84.75,13200
24,2023-06-05 09:39:00+05:30,84.75,86.5,84.65,86.05,9100
25,2023-06-05 09:40:00+05:30,85.5,86.95,85.2,86.5,3050
26,2023-06-05 09:41:00+05:30,86.5,87.85,85.65,87.8,2000
27,2023-06-05 09:42:00+05:30,87.9,88.0,85.8,85.8,4850
28,2023-06-05 09:43:00+05:30,85.35,86.75,84.65,86.2,3000
29,2023-06-05 09:44:00+05:30,87.0,87.2,85.35,85.35,2700
30,2023-06-05 09:45:00+05:30,85.35,85.7,83.2,84.0,7850
31,2023-06-05 09:46:00+05:30,84.0,86.0,84.0,84.8,7050
32,2023-06-05 09:47:00+05:30,84.6,85.55,83.5,83.95,5150
33,2023-06-05 09:48:00+05:30,83.95,83.95,82.5,83.7,9500
34,2023-06-05 09:49:00+05:30,83.7,84.1,82.65,83.1,7450
35,2023-06-05 09:50:00+05:30,83.1,83.25,82.5,83.05,9900
36,2023-06-05 09:51:00+05:30,82.65,83.45,82.4,83.45,16750
37,2023-06-05 09:52:00+05:30,83.0,83.5,82.7,83.5,29850
38,2023-06-05 09:53:00+05:30,83.85,84.35,83.0,83.7,12200
39,2023-06-05 09:54:00+05:30,83.7,83.95,82.8,83.0,8700
40,2023-06-05 09:55:00+05:30,82.8,83.65,82.5,83.1,12050
41,2023-06-05 09:56:00+05:30,83.1,84.0,82.1,82.95,21050
42,2023-06-05 09:57:00+05:30,82.8,83.4,82.5,82.95,7850
43,2023-06-05 09:58:00+05:30,83.05,83.15,82.3,82.55,6600
44,2023-06-05 09:59:00+05:30,82.3,82.65,81.55,82.55,11800
45,2023-06-05 10:00:00+05:30,82.35,82.55,81.65,81.8,2900
46,2023-06-05 10:01:00+05:30,82.0,82.0,81.75,82.0,5500
47,2023-06-05 10:02:00+05:30,82.0,83.5,81.45,83.1,3350
48,2023-06-05 10:03:00+05:30,83.1,83.75,82.4,82.6,4900
49,2023-06-05 10:04:00+05:30,82.6,83.55,82.6,83.0,2600
50,2023-06-05 10:05:00+05:30,82.9,83.1,82.5,82.7,3500
51,2023-06-05 10:06:00+05:30,82.7,82.95,82.45,82.95,3150
52,2023-06-05 10:07:00+05:30,82.95,83.75,82.75,82.75,4000
53,2023-06-05 10:08:00+05:30,82.75,82.75,81.9,82.5,3700
54,2023-06-05 10:09:00+05:30,82.25,83.0,82.25,83.0,6500
55,2023-06-05 10:10:00+05:30,82.75,83.75,82.5,82.55,2450
56,2023-06-05 10:11:00+05:30,82.8,82.8,81.3,82.0,5300
57,2023-06-05 10:12:00+05:30,82.0,82.5,81.65,81.65,3900
58,2023-06-05 10:13:00+05:30,81.65,83.05,81.65,82.85,5600
59,2023-06-05 10:14:00+05:30,82.7,83.0,82.0,82.0,2850
60,2023-06-05 10:15:00+05:30,82.0,82.3,81.45,81.75,5200
