,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,160.35,163.4,158.9,159.0,2000
1,2023-06-05 09:16:00+05:30,158.0,158.0,153.35,156.1,10200
2,2023-06-05 09:17:00+05:30,155.95,157.1,155.1,156.35,17650
3,2023-06-05 09:18:00+05:30,155.5,156.85,154.95,156.45,3550
4,2023-06-05 09:19:00+05:30,156.45,162.5,156.2,159.35,2600
5,2023-06-05 09:20:00+05:30,160.65,164.6,158.2,162.4,2300
6,2023-06-05 09:21:00+05:30,162.4,165.8,160.6,163.5,6100
7,2023-06-05 09:22:00+05:30,163.5,167.6,163.5,165.0,3950
8,2023-06-05 09:23:00+05:30,165.0,165.0,161.7,163.2,2200
9,2023-06-05 09:24:00+05:30,163.2,163.2,158.0,158.8,1900
10,2023-06-05 09:25:00+05:30,158.8,159.4,157.8,158.85,2750
11,2023-06-05 09:26:00+05:30,158.85,164.0,158.85,163.35,600
12,2023-06-05 09:27:00+05:30,163.35,166.0,162.75,166.0,2550
13,2023-06-05 09:28:00+05:30,166.0,166.0,161.7,161.7,600
14,2023-06-05 09:29:00+05:30,161.7,163.35,161.0,161.0,450
15,2023-06-05 09:30:00+05:30,161.0,161.0,157.8,159.7,2150
16,2023-06-05 09:31:00+05:30,159.7,165.15,159.7,165.05,3700
17,2023-06-05 09:32:00+05:30,165.05,165.05,164.25,164.5,400
18,2023-06-05 09:33:00+05:30,164.5,168.7,163.6,166.0,1700
19,2023-06-05 09:34:00+05:30,166.0,170.15,166.0,169.85,4000
20,2023-06-05 09:35:00+05:30,171.15,171.15,167.0,167.0,4200
21,2023-06-05 09:36:00+05:30,167.0,171.6,165.65,165.65,3000
22,2023-06-05 09:37:00+05:30,165.65,165.65,161.25,162.05,1600
23,2023-06-05 09:38:00+05:30,162.05,162.3,158.65,159.75,3150
24,2023-06-05 09:39:00+05:30,159.75,160.0,159.15,159.65,1250
25,2023-06-05 09:40:00+05:30,159.65,162.55,159.65,162.4,300
26,2023-06-05 09:41:00+05:30,162.4,162.8,162.4,162.6,250
27,2023-06-05 09:42:00+05:30,162.6,165.0,161.9,161.9,1400
28,2023-06-05 09:43:00+05:30,161.9,162.6,159.6,162.6,800
29,2023-06-05 09:44:00+05:30,162.6,164.2,162.6,162.6,1850
30,2023-06-05 09:45:00+05:30,162.6,162.6,157.0,157.35,1400
31,2023-06-05 09:46:00+05:30,157.35,162.0,157.35,160.0,1150
32,2023-06-05 09:47:00+05:30,160.0,160.05,157.8,158.3,450
33,2023-06-05 09:48:00+05:30,158.3,158.7,156.85,157.5,2200
34,2023-06-05 09:49:00+05:30,157.5,159.25,156.95,157.35,950
35,2023-06-05 09:50:00+05:30,157.35,157.85,156.75,157.0,900
36,2023-06-05 09:51:00+05:30,157.0,157.0,157.0,157.0,1800
37,2023-06-05 09:52:00+05:30,157.0,159.05,157.0,158.8,350
38,2023-06-05 09:53:00+05:30,158.8,160.75,158.8,158.8,2050
39,2023-06-05 09:54:00+05:30,158.8,160.55,157.5,158.0,650
40,2023-06-05 09:55:00+05:30,158.0,158.2,157.0,157.6,3550
41,2023-06-05 09:56:00+05:30,157.6,159.2,155.6,156.9,1850
42,2023-06-05 09:57:00+05:30,156.9,158.35,155.75,158.35,950
43,2023-06-05 09:58:00+05:30,158.35,158.35,155.8,156.85,1200
44,2023-06-05 09:59:00+05:30,156.35,156.85,155.0,156.2,1550
45,2023-06-05 10:00:00+05:30,156.2,156.2,155.45,155.75,1850
46,2023-06-05 10:01:00+05:30,155.75,156.8,155.05,156.0,750
47,2023-06-05 10:02:00+05:30,156.0,157.2,154.85,157.2,4300
48,2023-06-05 10:03:00+05:30,157.2,158.45,156.55,156.55,2400
49,2023-06-05 10:04:00+05:30,157.2,158.65,156.55,157.95,500
50,2023-06-05 10:05:00+05:30,157.95,158.3,157.1,157.1,500
51,2023-06-05 10:06:00+05:30,157.1,157.85,156.9,157.85,350
52,2023-06-05 10:07:00+05:30,158.0,159.25,156.85,156.85,3050
53,2023-06-05 10:08:00+05:30,157.05,157.05,155.5,156.9,350
54,2023-06-05 10:09:00+05:30,156.9,157.75,156.45,157.75,700
55,2023-06-05 10:10:00+05:30,157.75,159.3,157.0,157.05,800
56,2023-06-05 10:11:00+05:30,157.05,157.75,154.9,155.2,950
57,2023-06-05 10:12:00+05:30,155.2,156.25,155.1,155.25,1150
58,2023-06-05 10:13:00+05:30,155.25,157.25,155.1,156.85,300
59,2023-06-05 10:14:00+05:30,156.85,157.6,156.1,156.1,900
60,2023-06-05 10:15:00+05:30,156.1,156.1,155.0,155.1,550
